split_seed,model,train_cohort,test_cohort,within_roc_auc,external_roc_auc,roc_auc_change,within_pr_auc,external_pr_auc,pr_auc_change,within_brier_score,external_brier_score,brier_score_change
2,Logistic Regression,Hungary,Cleveland,0.9204097714736013,0.8408054044569222,-0.07960436701667906,0.9030753750838625,0.8249058028303727,-0.07816957225348975,0.10304729813454064,0.1651514239236727,0.062104125789132075
2,Random Forest,Hungary,Cleveland,0.9385342789598108,0.8644060361466923,-0.07412824281311847,0.9140451115295785,0.8617437478039062,-0.05230136372567229,0.10728603118018368,0.15812421206316557,0.05083818088298189
3,Logistic Regression,Cleveland,Hungary,0.8745644599303135,0.8699317543155358,-0.004632705614777688,0.8754276351795196,0.8277538306545599,-0.04767380452495973,0.14074757439460975,0.13136084333908032,-0.009386731055529424
3,Random Forest,Cleveland,Hungary,0.8348432055749129,0.8860397430750702,0.05119653750015729,0.8101033679137618,0.8377989248510174,0.02769555693725556,0.16276616864822774,0.13047368560801073,-0.03229248304021701
3,Logistic Regression,Hungary,Cleveland,0.9401103230890465,0.845762414458677,-0.09434790863036957,0.9128720869011873,0.835828068895954,-0.0770440180052333,0.09578862665447682,0.16040594180515916,0.06461731515068234
3,Random Forest,Hungary,Cleveland,0.929866036249015,0.8479557817160905,-0.08191025453292444,0.8781873793004822,0.8488984830007398,-0.029288896299742406,0.10944605866747627,0.16067236591583192,0.051226307248355654
4,Logistic Regression,Cleveland,Hungary,0.8954703832752613,0.8708851866720193,-0.024585196603241988,0.8994881912230981,0.826510023388422,-0.07297816783467603,0.12360395215449559,0.13425961871747535,0.010655666562979768
4,Random Forest,Cleveland,Hungary,0.8766550522648083,0.8849859494179044,0.008330897153096095,0.869506951821069,0.8184309348381249,-0.05107601698294406,0.14772144281748578,0.13550908387677946,-0.012212358940706325
4,Logistic Regression,Hungary,Cleveland,0.9259259259259259,0.8471223021582733,-0.0788036237676526,0.803499095273507,0.838161573289756,0.034662478016249,0.11408593145697543,0.16141918738695726,0.04733325592998183
4,Random Forest,Hungary,Cleveland,0.9054373522458629,0.8464642919810492,-0.05897306026481364,0.8496799520907365,0.8400873142350656,-0.009592637855670993,0.12409978095219124,0.16052322314305578,0.03642344219086455
5,Logistic Regression,Cleveland,Hungary,0.89198606271777,0.8747992773986351,-0.01718678531913498,0.896164221364334,0.8252304607340413,-0.07093376063029277,0.13276306474088032,0.13836577618706594,0.0056027114461856264
5,Random Forest,Cleveland,Hungary,0.8780487804878048,0.8822260136491369,0.004177233161332117,0.8856423792167203,0.8228273035418201,-0.06281507567490019,0.14250915886777016,0.13617840557248423,-0.006330753295285929
5,Logistic Regression,Hungary,Cleveland,0.9227738376674546,0.8347517108264608,-0.08802212684099375,0.8261478221219325,0.8230628818394632,-0.003084940282469306,0.10875476620450367,0.16804305427985514,0.05928828807535147
5,Random Forest,Hungary,Cleveland,0.9290780141843973,0.8550184242849622,-0.07405958989943506,0.8431322087084276,0.8571251220737162,0.013992913365288517,0.10903479852722335,0.1583744960773815,0.04933969755015814
6,Logistic Regression,Cleveland,Hungary,0.8926829268292683,0.8797169811320754,-0.012965945697192893,0.897100616693963,0.8334138194710607,-0.06368679722290227,0.1319708204039573,0.13071078062125996,-0.001260039782697342
6,Random Forest,Cleveland,Hungary,0.8724738675958188,0.8923123243677238,0.01983845677190499,0.8659695456975429,0.8458922547740126,-0.020077290923530278,0.1459693112617164,0.12874746773988202,-0.017221843521834368
